"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Brandan Wright","PF",81,205,1,21,39,23,"688",246,4,74,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"DeMarcus Nelson","PG",76,200,0,23,13,5,"171",54,3,24,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Darko Milicic","C",84,250,5,23,61,15,"1034",266,0,134,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Kyle Lowry","PG",72,175,2,22,49,21,"1071",272,69,89,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Darius Miles","SF",81,210,6,27,34,0,"298",99,6,32,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Greg Buckner","SF",76,210,9,32,63,0,"878",159,51,108,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Marko Jaric","SG",79,198,6,30,53,0,"605",145,28,62,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Marc Gasol","C",85,265,0,24,82,75,"2521",661,1,265,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Rudy Gay","SF",80,230,2,22,79,78,"2945",1262,242,221,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Hakim Warrick","PF",81,219,3,26,82,7,"2029",693,23,170,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Hamed Haddadi","C",86,254,0,23,19,0,"120",31,0,20,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Javaris Crittenton","SG",77,200,1,21,7,0,"44",15,1,5,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Mike Conley","PG",73,180,1,21,82,61,"2508",730,217,146,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Darrell Arthur","PF",81,225,0,20,76,64,"1464",436,2,206,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Quinton Ross","SF",78,195,4,27,68,7,"1164",259,88,114,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Adonal Foyle","C",82,250,11,33,1,0,"3",0,0,1,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"O.J. Mayo","SG",77,210,0,21,82,82,"3120",1283,378,204,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.5","109.5"
"Yao Ming","C",90,310,6,28,77,77,"2589",1032,1,257,0,0,0,0,28,9,9,"323",99,0,27,0,0,0,0,"108.4","104.0"
"Joey Dorsey","PF",80,268,0,25,3,0,"6",2,0,0,0,0,0,0,"108.4","104.0"
"Tracy McGrady","SG",80,210,11,29,35,35,"1181",485,117,38,0,0,0,0,"108.4","104.0"
"Metta World Peace","SF",78,244,9,29,69,55,"2452",1037,383,155,0,0,0,0,29,13,13,"488",203,83,27,0,0,0,0,"108.4","104.0"
"Kyle Lowry","PG",72,175,2,22,28,0,"608",162,29,57,0,0,0,0,22,13,0,"254",63,16,23,0,0,0,0,"108.4","104.0"
"Brian Cook","PF",81,234,5,28,9,0,"25",16,5,3,0,0,0,0,28,6,0,"32",15,9,4,0,0,0,0,"108.4","104.0"
"Luis Scola","PF",81,245,1,28,82,82,"2488",799,3,261,0,0,0,0,28,13,13,"424",156,0,45,0,0,0,0,"108.4","104.0"
"Von Wafer","SG",77,210,3,23,63,11,"1225",512,164,71,0,0,0,0,23,13,0,"181",92,22,11,0,0,0,0,"108.4","104.0"
"Brent Barry","SG",78,185,13,37,56,1,"857",172,131,45,0,0,0,0,37,4,0,"35",10,8,3,0,0,0,0,"108.4","104.0"
"James White","SF",79,200,1,26,4,0,"11",5,2,2,0,0,0,0,26,5,0,"12",9,2,0,0,0,0,0,"108.4","104.0"
